"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1747","User login with wrong email or password","LMS SYSTEM","Thu Feb 05 23:05:10 UTC 2026","passed","Thu Feb 05 23:05:12 UTC 2026","Authorization","Authentication","",""
"","1896","Create correct new course","tests.courses","Thu Feb 05 23:05:16 UTC 2026","passed","Thu Feb 05 23:05:18 UTC 2026","TestCourses","test_courses","",""
"","1945","User login with wrong email or password","LMS SYSTEM","Thu Feb 05 23:05:07 UTC 2026","passed","Thu Feb 05 23:05:09 UTC 2026","Authorization","Authentication","",""
"","0","test_user_can_register","tests.pytest","Thu Feb 05 23:05:19 UTC 2026","passed","Thu Feb 05 23:05:19 UTC 2026","TestUserFlow","test_markers","",""
"","3072","User registration, logout and login with valid email and password","LMS SYSTEM","Thu Feb 05 23:05:07 UTC 2026","passed","Thu Feb 05 23:05:10 UTC 2026","Authorization","Authentication","",""
"","0","test_user_can_login","tests.pytest","Thu Feb 05 23:05:18 UTC 2026","passed","Thu Feb 05 23:05:18 UTC 2026","TestUserFlow","test_markers","",""
"","1563","navigation from login page to registration page","LMS SYSTEM","Thu Feb 05 23:05:11 UTC 2026","passed","Thu Feb 05 23:05:12 UTC 2026","Authorization","Authentication","",""
"","1654","User login with wrong email or password","LMS SYSTEM","Thu Feb 05 23:05:12 UTC 2026","passed","Thu Feb 05 23:05:14 UTC 2026","Authorization","Authentication","",""
"","1321","User registration with correct email, username and password","LMS SYSTEM","Thu Feb 05 23:05:13 UTC 2026","passed","Thu Feb 05 23:05:14 UTC 2026","Authorization","Authentication","",""
"","1691","Check displaying of dashboard page","LMS SYSTEM","Thu Feb 05 23:05:17 UTC 2026","passed","Thu Feb 05 23:05:19 UTC 2026","Dashboard","Dashboard","",""
"","1592","Check display empty courses list","LMS SYSTEM","Thu Feb 05 23:05:15 UTC 2026","passed","Thu Feb 05 23:05:17 UTC 2026","Courses","Courses","",""
