"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1849","User login with wrong email or password","LMS SYSTEM","Thu Feb 05 23:20:45 UTC 2026","passed","Thu Feb 05 23:20:47 UTC 2026","Authorization","Authentication","",""
"","1","test_user_can_register","tests.pytest","Thu Feb 05 23:20:56 UTC 2026","passed","Thu Feb 05 23:20:56 UTC 2026","TestUserFlow","test_markers","",""
"","1558","navigation from login page to registration page","LMS SYSTEM","Thu Feb 05 23:20:48 UTC 2026","passed","Thu Feb 05 23:20:50 UTC 2026","Authorization","Authentication","",""
"","1629","User login with wrong email or password","LMS SYSTEM","Thu Feb 05 23:20:49 UTC 2026","passed","Thu Feb 05 23:20:51 UTC 2026","Authorization","Authentication","",""
"","3135","User registration, logout and login with valid email and password","LMS SYSTEM","Thu Feb 05 23:20:45 UTC 2026","passed","Thu Feb 05 23:20:48 UTC 2026","Authorization","Authentication","",""
"","1554","Check display empty courses list","LMS SYSTEM","Thu Feb 05 23:20:52 UTC 2026","passed","Thu Feb 05 23:20:54 UTC 2026","Courses","Courses","",""
"","1702","Check displaying of dashboard page","LMS SYSTEM","Thu Feb 05 23:20:54 UTC 2026","passed","Thu Feb 05 23:20:56 UTC 2026","Dashboard","Dashboard","",""
"","1867","Create correct new course","tests.courses","Thu Feb 05 23:20:53 UTC 2026","passed","Thu Feb 05 23:20:55 UTC 2026","TestCourses","test_courses","",""
"","1155","User registration with correct email, username and password","LMS SYSTEM","Thu Feb 05 23:20:50 UTC 2026","passed","Thu Feb 05 23:20:51 UTC 2026","Authorization","Authentication","",""
"","1721","User login with wrong email or password","LMS SYSTEM","Thu Feb 05 23:20:47 UTC 2026","passed","Thu Feb 05 23:20:49 UTC 2026","Authorization","Authentication","",""
"","0","test_user_can_login","tests.pytest","Thu Feb 05 23:20:55 UTC 2026","passed","Thu Feb 05 23:20:55 UTC 2026","TestUserFlow","test_markers","",""
